2022-01-17 14:07:29.169 DEBUG 4475 --- [http-nio-8080-exec-9] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.169 DEBUG 4475 --- [http-nio-8080-exec-3] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.173 DEBUG 4475 --- [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.174 DEBUG 4475 --- [http-nio-8080-exec-9] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.183 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/img/van.png", parameters={}
2022-01-17 14:07:29.184 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.188 DEBUG 4475 --- [http-nio-8080-exec-8] o.s.web.servlet.DispatcherServlet        : GET "/img/foreign_car.png", parameters={}
2022-01-17 14:07:29.189 DEBUG 4475 --- [http-nio-8080-exec-8] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.190 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.190 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : GET "/img/small_medium_rv.png", parameters={}
2022-01-17 14:07:29.191 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.191 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet        : GET "/img/medium_rv.png", parameters={}
2022-01-17 14:07:29.192 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
2022-01-17 14:07:29.194 DEBUG 4475 --- [http-nio-8080-exec-8] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.195 DEBUG 4475 --- [http-nio-8080-exec-2] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.196 DEBUG 4475 --- [http-nio-8080-exec-6] o.s.web.servlet.DispatcherServlet        : Completed 200 OK
2022-01-17 14:07:29.197 DEBUG 4475 --- [http-nio-8080-exec-10] o.s.web.servlet.DispatcherServlet        : GET "/img/large_rv.png", parameters={}
2022-01-17 14:07:29.198 DEBUG 4475 --- [http-nio-8080-exec-10] o.s.w.s.handler.SimpleUrlHandlerMapping  : Mapped to ResourceHttpRequestHandler [class path resource [templates/], class path resource [static/]]
